#Masa añadida (kg) (incluida portapesas) Peso (N) Distancia sensor muelle (m) Alargamiento (m)
0.01 0.0981 0.89 0
0.03 0.2943 0.86 0.03
0.05 0.4905 0.81 0.08
0.07 0.6867 0.76 0.13
0.09 0.8829 0.7 0.19
0.11 1.0791 0.64 0.25
0.13 1.2753 0.58 0.31
0.15 1.4715 0.52 0.37
0.17 1.6677 0.46 0.43
0.19 1.8639 0.4 0.49
0.21 2.0601 0.35 0.54
0.23 2.2563 0.29 0.6
0.25 2.4525 0.23 0.66
